duration,protocol_type,service,src_bytes,dst_bytes,flag,land
118,TCP,unknown,24015,0,OTH,0
118,TCP,unknown,8649,0,OTH,0
116,TCP,unknown,23850,0,OTH,0
116,TCP,unknown,4875,0,OTH,0
115,TCP,unknown,86578,0,OTH,0
115,TCP,unknown,179916,0,OTH,0
45,TCP,unknown,132,0,OTH,0
0,TCP,unknown,2863,0,S2,0
0,TCP,unknown,2436,0,S2,0
78,TCP,unknown,186,0,RSTO,0
0,TCP,unknown,2797,0,S2,0
0,TCP,unknown,2110,0,S2,0
58,TCP,unknown,528,0,RSTO,0
32,TCP,unknown,264,0,OTH,0
0,TCP,unknown,327,0,OTH,0
0,TCP,unknown,195,0,OTH,0
45,TCP,unknown,132,0,OTH,0
45,TCP,unknown,132,0,OTH,0
59,TCP,unknown,342,0,OTH,0
59,TCP,unknown,210,0,OTH,0
66,TCP,unknown,1356,0,OTH,0
66,TCP,unknown,561,0,OTH,0
59,TCP,unknown,356,0,OTH,0
59,TCP,unknown,290,0,OTH,0
6,TCP,unknown,1530,0,S2,0
6,TCP,unknown,1518,0,S2,0
6,TCP,unknown,7187,0,S2,0
6,TCP,unknown,7187,0,S2,0
0,TCP,unknown,1793,0,S2,0
0,TCP,unknown,5161,0,S2,0
1,TCP,unknown,5068,0,S2,0
1,TCP,unknown,322927,0,S2,0
0,TCP,unknown,3473,0,S2,0
0,TCP,unknown,1542,0,S2,0
0,TCP,unknown,6586,0,S2,0
0,TCP,unknown,5676,0,S2,0
0,TCP,unknown,1892,0,S2,0
0,TCP,unknown,1892,0,S2,0
0,TCP,unknown,16388,0,S2,0
0,TCP,unknown,1892,0,S2,0
0,TCP,unknown,1958,0,S2,0
0,TCP,unknown,1958,0,S2,0
0,TCP,unknown,8520,0,S2,0
0,TCP,unknown,7599,0,S2,0
0,TCP,unknown,7545,0,S2,0
0,TCP,unknown,7479,0,S2,0
0,TCP,unknown,7587,0,S2,0
0,TCP,unknown,7587,0,S2,0
